 n_tokens_content, n_unique_tokens, num_hrefs, num_imgs, num_videos, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_tech, is_weekend, global_subjectivity, global_sentiment_polarity, title_subjectivity, shares, avg_positive_polarity, title_sentiment_polarity
219,0.663594467,4,1,0,1,0,0,0,0.521617145,0.092561983,0.5,593,0.378636364,-0.1875
255,0.604743081,3,1,0,0,1,0,0,0.341245791,0.148947811,0,711,0.286914601,0
211,0.575129531,3,1,0,0,1,0,0,0.702222222,0.323333333,0,1500,0.495833333,0
531,0.503787878,9,1,0,1,0,0,0,0.429849687,0.100704666,0,1200,0.385965171,0
1072,0.415645617,19,20,0,0,0,1,0,0.513502123,0.281003476,0.454545455,505,0.411127435,0.136363636
370,0.559888578,2,0,0,0,0,1,0,0.437408649,0.071184192,0.642857143,855,0.350609996,0.214285714
960,0.418162618,21,20,0,0,0,0,0,0.514480301,0.268302724,0,556,0.402038567,0
989,0.433573635,20,20,0,0,0,1,0,0.543474234,0.29861347,1,891,0.427720492,0.5
97,0.670103086,2,0,0,0,0,1,0,0.538888889,0.161111111,0.125,3600,0.566666667,0
231,0.636363634,4,1,1,0,0,0,0,0.313888889,0.051851852,0,710,0.298412698,0
1248,0.490049751,11,1,0,0,0,0,0,0.482059813,0.102350146,0,2200,0.404480069,0
187,0.666666663,7,1,0,0,0,0,0,0.477164502,0.15,0,1900,0.435,0
274,0.6091954,18,11,0,0,0,0,0,0.534950029,0.100727513,1,823,0.375510204,-1
285,0.744186044,4,0,21,0,0,0,0,0.50974359,-0.053084936,1,10000,0.4575,-1
259,0.562753034,19,9,0,0,0,0,0,0.295175128,0.057299292,0.75,761,0.249090909,0.55
682,0.459541984,10,1,0,0,0,0,0,0.473285048,0.062226662,0.75,1600,0.34307041,-0.25
1118,0.512396694,26,12,1,0,0,0,0,0.57962963,0.056378601,0.566666667,13600,0.504528986,-0.1
397,0.624678662,11,1,0,0,1,0,0,0.374313754,0.212487702,0,3100,0.381847319,0
103,0.689320382,3,1,0,0,0,0,0,0.423611111,0.118055556,0.857142857,5700,0.277777778,-0.714285714
1207,0.410579345,24,42,0,0,0,1,0,0.539251643,0.288259179,0.5,17100,0.426568491,0
1248,0.390637611,21,20,0,0,0,1,0,0.506535132,0.290440393,0,2800,0.408244716,0
391,0.510256409,9,1,1,0,0,0,0,0.284210526,0.033333333,0,598,0.15,0
1154,0.427304964,20,20,0,0,0,1,0,0.533657622,0.268667865,0,445,0.416342998,0
125,0.674796742,1,1,0,0,0,0,0,0.396401515,0.210795455,0.45,1500,0.281060606,0.4
244,0.559999998,3,1,0,0,1,0,0,0.331639929,-0.092305407,0.7,852,0.292424242,-0.4
266,0.572580643,5,1,0,0,0,1,0,0.313095238,0.048701299,0.9,783,0.295238095,0.4
331,0.56269113,5,1,0,0,0,1,0,0.560695733,0.295414348,0,1500,0.556558442,0
1225,0.385451505,22,28,0,0,0,1,0,0.480777661,0.242447155,0.5,1800,0.417415201,0.5
243,0.619246859,1,0,0,0,0,0,0,0.517984307,0.155603355,0,462,0.333297258,0
723,0.490934448,18,1,0,0,1,0,0,0.375048678,0.182696038,0.5,425,0.340572181,0.5
708,0.48221906,8,1,1,0,1,0,0,0.491427884,0.138938707,0,3200,0.291941392,0
633,0.476038338,2,19,0,0,0,1,0,0.531972337,0.180076022,0,3900,0.29803285,0
290,0.611510789,0,14,0,0,0,1,0,0.57190673,0.318121802,0,480,0.438908129,0
597,0.531732418,5,1,0,0,0,0,0,0.467187049,0.242947781,1,573,0.419438894,1
204,0.586206894,7,1,0,0,0,0,0,0.651940457,0.316985646,0,3600,0.422181818,0
315,0.55128205,4,1,0,0,0,0,0,0.553519571,0.176594066,0.55,343,0.400550964,0.35
1244,0.41754671,27,20,0,0,0,1,0,0.511652568,0.276975456,1,7700,0.421472119,-0.6
257,0.568093383,9,0,1,0,0,0,0,0.4,0.007407407,0.666666667,2600,0.360416667,-0.5
799,0.504391467,8,1,0,0,0,0,0,0.42003367,0.12288961,0,504,0.39452381,0
194,0.764705878,4,0,1,1,0,0,0,0.395588235,0.347058824,0.4,2100,0.545454545,0.1
1036,0.429549902,21,20,0,0,0,1,0,0.524163337,0.289358662,0,1100,0.418579846,0
174,0.691860461,0,1,0,0,0,1,0,0.588636364,0.159090909,0,401,0.412121212,0
1237,0.423770491,24,42,0,0,0,1,0,0.507184718,0.261628686,0,4200,0.403363746,0
1081,0.428037383,19,20,0,0,0,1,0,0.536793474,0.269287144,0.7,1200,0.423737908,-0.05
1022,0.427427427,20,20,0,0,0,1,0,0.510508122,0.284727401,0,1500,0.419440517,0
142,0.654676254,2,1,0,0,1,0,0,0.442857143,0.114285714,0,575,0.366666667,0
1190,0.408703071,25,20,0,0,0,0,0,0.506584209,0.24357617,0,507,0.403010936,0
161,0.668831164,5,0,6,1,0,0,0,0.57238292,0.166184573,0.583333333,1200,0.427462121,0.25
1108,0.408592321,21,20,0,0,0,1,0,0.499397646,0.259654143,0,695,0.39068525,0
1089,0.418691588,20,20,0,0,0,1,0,0.49594468,0.266534091,0,1200,0.40410817,0
214,0.64454976,2,0,1,0,0,1,0,0.423076923,0.057692308,0.85,4900,0.258333333,-0.4
944,0.433011789,21,20,0,0,0,1,0,0.52090368,0.279677056,0.642857143,382,0.413517594,0.214285714
1030,0.422244094,21,20,0,0,0,1,0,0.505898268,0.266416747,0,400,0.426237602,0
454,0.566079294,5,1,0,1,0,0,0,0.46735322,0.125507305,0.427272727,4600,0.362954545,0.168181818
1115,0.424131627,21,20,0,0,0,1,0,0.506520305,0.279769395,0.333333333,2400,0.417055465,0.25
555,0.535390199,7,1,0,0,0,1,0,0.425089368,0.128515266,0.5,1600,0.337964876,-0.1
474,0.608602149,11,1,0,0,0,0,0,0.54257986,0.12237013,0.65,1100,0.35726912,-0.5
130,0.82170542,7,0,0,0,0,1,0,0.381986532,0.152188552,0.25,1300,0.353939394,0.2
444,0.60091743,9,23,0,0,1,0,0,0.46213761,0.193188377,0.454545455,819,0.31289761,0.136363636
280,0.576642334,5,10,1,0,0,1,0,0.490943267,0.143688767,0.5,585,0.257251082,0.136363636
1024,0.428007889,19,19,0,0,0,1,0,0.535241458,0.290063884,0,536,0.410137858,0
